"Lon","Lat","Week_Number","Chl","distanza_segmento","distanza_cumulata"
13.417,45.646,6,0.317954391241074,0.0420000000000016,3.00487643194449
13.417,45.646,7,0.448542982339859,0.0420000000000016,3.00487643194449
13.417,45.646,8,0.358711689710617,0.0420000000000016,3.00487643194449
13.417,45.646,9,0.444966793060303,0.0420000000000016,3.00487643194449
13.417,45.646,10,0.480821967124939,0.0420000000000016,3.00487643194449
13.417,45.646,11,0.391637206077576,0.0420000000000016,3.00487643194449
13.417,45.646,12,0.285007238388062,0.0420000000000016,3.00487643194449
13.417,45.646,13,0.523907840251923,0.0420000000000016,3.00487643194449
13.417,45.646,14,0.468062192201614,0.0420000000000016,3.00487643194449
13.417,45.646,15,0.311899363994598,0.0420000000000016,3.00487643194449
13.417,45.646,16,0.32854813337326,0.0420000000000016,3.00487643194449
13.417,45.646,17,0.519574522972107,0.0420000000000016,3.00487643194449
13.417,45.646,18,0.544501066207886,0.0420000000000016,3.00487643194449
13.417,45.646,19,0.999380350112915,0.0420000000000016,3.00487643194449
13.417,45.646,20,0.862694561481476,0.0420000000000016,3.00487643194449
13.417,45.646,21,1.02785980701447,0.0420000000000016,3.00487643194449
13.417,45.646,22,1.09958636760712,0.0420000000000016,3.00487643194449
13.417,45.646,23,1.19299566745758,0.0420000000000016,3.00487643194449
13.417,45.646,24,1.23825478553772,0.0420000000000016,3.00487643194449
13.417,45.646,25,0.955672740936279,0.0420000000000016,3.00487643194449
13.417,45.646,26,0.856233954429626,0.0420000000000016,3.00487643194449
13.417,45.646,27,0.914299428462982,0.0420000000000016,3.00487643194449
13.417,45.646,28,0.935466110706329,0.0420000000000016,3.00487643194449
13.417,45.646,29,0.825064897537231,0.0420000000000016,3.00487643194449
13.417,45.646,30,0.855826258659363,0.0420000000000016,3.00487643194449
13.417,45.646,31,0.42591267824173,0.0420000000000016,3.00487643194449
13.417,45.646,32,0.838316857814789,0.0420000000000016,3.00487643194449
13.417,45.646,33,1.06228220462799,0.0420000000000016,3.00487643194449
13.417,45.646,34,0.970643281936646,0.0420000000000016,3.00487643194449
13.417,45.646,35,0.707934081554413,0.0420000000000016,3.00487643194449
13.417,45.646,36,0.695871770381927,0.0420000000000016,3.00487643194449
13.417,45.646,37,0.518567502498627,0.0420000000000016,3.00487643194449
13.417,45.646,38,0.439475566148758,0.0420000000000016,3.00487643194449
13.417,45.646,39,0.248808860778809,0.0420000000000016,3.00487643194449
13.417,45.646,40,0.500437915325165,0.0420000000000016,3.00487643194449
13.417,45.646,41,0.500482976436615,0.0420000000000016,3.00487643194449
13.417,45.646,42,0.360283523797989,0.0420000000000016,3.00487643194449
13.417,45.646,43,0.434067159891129,0.0420000000000016,3.00487643194449
13.417,45.646,44,0.634364187717438,0.0420000000000016,3.00487643194449
13.417,45.646,45,0.743787050247192,0.0420000000000016,3.00487643194449
13.417,45.646,46,0.870919585227966,0.0420000000000016,3.00487643194449
13.417,45.646,47,0.996696352958679,0.0420000000000016,3.00487643194449
13.417,45.646,48,0.949169218540192,0.0420000000000016,3.00487643194449
13.417,45.646,49,1.07510089874268,0.0420000000000016,3.00487643194449
13.417,45.646,50,0.906741499900818,0.0420000000000016,3.00487643194449
13.417,45.646,51,0.568064570426941,0.0420000000000016,3.00487643194449
13.417,45.646,52,0.531705737113953,0.0420000000000016,3.00487643194449
13.417,45.646,53,0.418314874172211,0.0420000000000016,3.00487643194449
12.875,45.563,1,0.534489512443542,0.0420000000000016,2.3936942479785
12.875,45.563,2,0.640895307064056,0.0420000000000016,2.3936942479785
12.875,45.563,3,0.845616221427917,0.0420000000000016,2.3936942479785
12.875,45.563,4,0.669610977172852,0.0420000000000016,2.3936942479785
12.875,45.563,5,0.521758377552032,0.0420000000000016,2.3936942479785
12.875,45.563,6,0.346005976200104,0.0420000000000016,2.3936942479785
12.875,45.563,7,0.514789402484894,0.0420000000000016,2.3936942479785
12.875,45.563,8,0.635761857032776,0.0420000000000016,2.3936942479785
12.875,45.563,9,0.564232528209686,0.0420000000000016,2.3936942479785
12.875,45.563,10,0.638607025146484,0.0420000000000016,2.3936942479785
12.875,45.563,11,0.64115297794342,0.0420000000000016,2.3936942479785
12.875,45.563,12,0.597021520137787,0.0420000000000016,2.3936942479785
12.875,45.563,13,0.712751626968384,0.0420000000000016,2.3936942479785
12.875,45.563,14,0.74817967414856,0.0420000000000016,2.3936942479785
12.875,45.563,15,0.439152747392654,0.0420000000000016,2.3936942479785
12.875,45.563,16,0.391049057245255,0.0420000000000016,2.3936942479785
12.875,45.563,17,0.617588996887207,0.0420000000000016,2.3936942479785
12.875,45.563,18,0.647076785564423,0.0420000000000016,2.3936942479785
12.875,45.563,19,0.781894266605377,0.0420000000000016,2.3936942479785
12.875,45.563,20,0.767768979072571,0.0420000000000016,2.3936942479785
